Date,Time,Bacteria,Fungi,Pollen,PM2.5,PM10
2021-04-14,03:29:00,48411.523455509,43688.4479964349,1180.76886476851,0.0,0.0
2021-04-14,03:30:00,62616.3200704233,36624.640041191,8270.08000930119,0.0,0.0
2021-04-14,03:31:00,46023.8411207583,30682.5607471722,5900.49245137926,0.0,0.0
2021-04-14,03:32:00,44933.0292398491,36655.8922746137,5912.24068945382,0.0,0.0
2021-04-14,03:33:00,51918.2647305473,28319.0534893895,10619.645058521,0.0,0.0
2021-04-14,03:34:00,54306.2943578169,43681.1498095484,0.0,0.0,0.0
2021-04-14,03:35:00,41382.9154105547,34288.7013401739,9458.95209384108,0.0,0.0
2021-04-14,03:36:00,50701.0570451164,25940.0756975014,7074.56609931857,0.0,0.0
2021-04-14,03:37:00,31862.6591105962,25962.166682708,5900.49242788818,0.0,0.0
2021-04-14,03:38:00,41450.183198508,41450.183198508,7105.7456911728,0.0,0.0
2021-04-14,03:39:00,53099.1120059628,29499.5066699793,7079.88160079504,0.0,0.0
2021-04-14,03:40:00,48518.5281376199,34317.9833168531,4733.5149402556,0.0,0.0
2021-04-14,03:41:00,53042.4312725877,29468.0173736598,4714.88277978557,0.0,0.0
2021-04-14,03:42:00,46003.1003561393,18873.0668127751,4718.26670319377,0.0,0.0
2021-04-14,03:43:00,41270.3679478395,27120.5275085802,8254.0735895679,0.0,0.0
2021-04-14,03:44:00,42483.5454807949,33042.7575961738,2360.19697115527,0.0,0.0
2021-04-14,03:45:00,41246.2810626487,23569.3034643707,3535.39551965561,0.0,0.0
2021-04-14,03:46:00,40177.0199537433,31905.280551502,1181.67705746304,0.0,0.0
2021-04-14,03:47:00,43603.9386377235,24748.1813889782,3535.45448413974,0.0,0.0
2021-04-14,03:48:00,47252.0707511497,23626.0353755748,3543.90530633622,0.0,0.0
2021-04-14,03:49:00,47155.1198677771,22398.6819371941,7073.26798016657,0.0,0.0
2021-04-14,03:50:00,33260.473122804,35636.2212030043,8315.11828070101,0.0,0.0
2021-04-14,03:51:00,48533.1562580254,24858.4458882569,5918.67759244212,0.0,0.0
2021-04-14,03:52:00,49598.0930477006,21256.3255918717,3542.72093197862,0.0,0.0
2021-04-14,03:53:00,49622.1392372581,24811.0696186291,5907.39752824501,0.0,0.0
2021-04-14,03:54:00,50822.3107734812,31911.68350893,13001.0562443789,0.0,0.0
2021-04-14,03:55:00,55542.5367214785,21271.6098082258,3545.26830137097,0.0,0.0
2021-04-14,03:56:00,52107.9285886402,28422.5065028946,2368.54220857455,0.0,0.0
2021-04-14,03:57:00,43650.5239630807,23594.8778178815,3539.23167268222,0.0,0.0
2021-04-14,03:58:00,42484.9644084114,27143.171705374,5900.68950116825,0.0,0.0
2021-04-14,03:59:00,44773.4641099034,43595.2150543796,7069.49433314264,0.0,0.0
2021-04-14,04:00:00,41376.6850853018,24826.0110511811,5910.95501218598,0.0,0.0
2021-04-14,04:01:00,35514.4451134361,29595.3709278634,4735.25934845814,0.0,0.0
2021-04-14,04:02:00,38956.2601509356,41317.2456146287,8263.44912292573,0.0,0.0
2021-04-14,04:03:00,36587.9408143293,31866.9161931255,7081.53693180567,0.0,0.0
2021-04-14,04:04:00,47285.2671166664,29553.2919479165,8274.92174541663,0.0,0.0
2021-04-14,04:05:00,44870.716320307,29520.2081054651,10627.2749179674,0.0,0.0
2021-04-14,04:06:00,44850.4830568102,25966.0691381533,11802.7586991606,0.0,0.0
2021-04-14,04:07:00,33025.6619114055,43641.0532400716,4717.95170162936,0.0,0.0
2021-04-14,04:08:00,40257.7966482407,23681.0568519063,9472.42274076251,0.0,0.0
2021-04-14,04:09:00,24797.8035124288,23616.9557261226,3542.54335891839,0.0,0.0
2021-04-14,04:10:00,49537.6661555631,24768.8330777815,11794.6824179912,0.0,0.0
2021-04-14,04:11:00,47215.7659174454,22427.4888107866,5901.97073968068,0.0,0.0
2021-04-14,04:12:00,34175.4901592089,34175.4901592089,7070.79106742254,0.0,0.0
2021-04-14,04:13:00,37742.3538831315,30665.6625300444,5897.2427942393,0.0,0.0
2021-04-14,04:14:00,46166.4586309737,23675.1069902429,7102.53209707288,0.0,0.0
2021-04-14,04:15:00,43656.3540635045,25957.8321458675,7079.40876705478,0.0,0.0
2021-04-14,04:16:00,33001.9777403855,38895.1880511686,5893.21031078312,0.0,0.0
2021-04-14,04:17:00,49617.162223492,28352.6641277097,8269.52703724866,0.0,0.0
2021-04-14,04:18:00,34162.9572238271,32984.9242161089,8246.23105402724,0.0,0.0
2021-04-14,04:19:00,31914.8861423829,27186.7548620299,7092.19692052954,0.0,0.0
2021-04-14,04:20:00,43636.6834963961,37739.8343752615,5896.84912113461,0.0,0.0
2021-04-14,04:21:00,34247.4469342321,38971.2327182641,4723.78578403202,0.0,0.0
2021-04-14,04:22:00,50857.1830181498,35481.755594058,14192.7022376232,0.0,0.0
2021-04-14,04:23:00,41293.7934770862,33035.034781669,3539.46801232168,0.0,0.0
2021-04-14,04:24:00,38982.958214341,28351.2423377025,8269.11234849657,0.0,0.0
2021-04-14,04:25:00,42465.1090569216,21232.5545284608,8257.10453884587,0.0,0.0
2021-04-14,04:26:00,34223.9992430333,41304.8266726264,7080.82742959309,0.0,0.0
2021-04-14,04:27:00,42479.2896047702,34219.427737176,4719.92106719669,0.0,0.0
2021-04-14,04:28:00,29558.7307961152,39017.524650872,9458.79385475686,0.0,0.0
2021-04-14,04:29:00,37739.8343752615,36560.4645510346,10614.3284180423,0.0,0.0
